n_episode :1920, score : 237.2, n_buffer : 50000, eps : 1.0%
n_episode :1940, score : 239.7, n_buffer : 50000, eps : 1.0%
n_episode :1960, score : 223.1, n_buffer : 50000, eps : 1.0%
n_episode :1980, score : 175.4, n_buffer : 50000, eps : 1.0%
n_episode :2000, score : 209.6, n_buffer : 50000, eps : 1.0%
n_episode :2020, score : 185.9, n_buffer : 50000, eps : 1.0%
n_episode :2040, score : 258.3, n_buffer : 50000, eps : 1.0%
n_episode :2060, score : 200.8, n_buffer : 50000, eps : 1.0%
n_episode :2080, score : 247.7, n_buffer : 50000, eps : 1.0%
n_episode :2100, score : 168.3, n_buffer : 50000, eps : 1.0%
n_episode :2120, score : 271.3, n_buffer : 50000, eps : 1.0%
n_episode :2140, score : 209.8, n_buffer : 50000, eps : 1.0%
n_episode :2160, score : 215.6, n_buffer : 50000, eps : 1.0%
n_episode :2180, score : 184.9, n_buffer : 50000, eps : 1.0%
n_episode :2200, score : 255.4, n_buffer : 50000, eps : 1.0%
n_episode :2220, score : 336.8, n_buffer : 50000, eps : 1.0%
n_episode :2240, score : 207.3, n_buffer : 50000, eps : 1.0%
n_episode :2260, score : 319.2, n_buffer : 50000, eps : 1.0%
n_episode :2280, score : 265.4, n_buffer : 50000, eps : 1.0%
n_episode :2300, score : 441.3, n_buffer : 50000, eps : 1.0%
n_episode :2320, score : 333.8, n_buffer : 50000, eps : 1.0%
n_episode :2340, score : 249.7, n_buffer : 50000, eps : 1.0%
n_episode :2360, score : 317.0, n_buffer : 50000, eps : 1.0%
n_episode :2380, score : 295.0, n_buffer : 50000, eps : 1.0%
n_episode :2400, score : 264.4, n_buffer : 50000, eps : 1.0%
n_episode :2420, score : 296.9, n_buffer : 50000, eps : 1.0%
n_episode :2440, score : 321.4, n_buffer : 50000, eps : 1.0%
n_episode :2460, score : 392.9, n_buffer : 50000, eps : 1.0%
n_episode :2480, score : 235.8, n_buffer : 50000, eps : 1.0%
n_episode :2500, score : 195.6, n_buffer : 50000, eps : 1.0%
n_episode :2520, score : 190.8, n_buffer : 50000, eps : 1.0%
n_episode :2540, score : 199.6, n_buffer : 50000, eps : 1.0%
n_episode :2560, score : 174.6, n_buffer : 50000, eps : 1.0%
n_episode :2580, score : 189.8, n_buffer : 50000, eps : 1.0%
n_episode :2600, score : 262.1, n_buffer : 50000, eps : 1.0%
n_episode :2620, score : 240.7, n_buffer : 50000, eps : 1.0%
n_episode :2640, score : 318.1, n_buffer : 50000, eps : 1.0%
n_episode :2660, score : 178.9, n_buffer : 50000, eps : 1.0%
n_episode :2680, score : 178.4, n_buffer : 50000, eps : 1.0%
n_episode :2700, score : 219.1, n_buffer : 50000, eps : 1.0%
n_episode :2720, score : 191.2, n_buffer : 50000, eps : 1.0%
n_episode :2740, score : 179.2, n_buffer : 50000, eps : 1.0%
n_episode :2760, score : 402.4, n_buffer : 50000, eps : 1.0%
n_episode :2780, score : 284.1, n_buffer : 50000, eps : 1.0%
n_episode :2800, score : 278.9, n_buffer : 50000, eps : 1.0%
n_episode :2820, score : 315.7, n_buffer : 50000, eps : 1.0%
n_episode :2840, score : 265.4, n_buffer : 50000, eps : 1.0%
n_episode :2860, score : 251.0, n_buffer : 50000, eps : 1.0%
n_episode :2880, score : 284.2, n_buffer : 50000, eps : 1.0%
n_episode :2900, score : 280.8, n_buffer : 50000, eps : 1.0%
n_episode :2920, score : 259.9, n_buffer : 50000, eps : 1.0%
n_episode :2940, score : 293.7, n_buffer : 50000, eps : 1.0%
n_episode :2960, score : 373.1, n_buffer : 50000, eps : 1.0%
n_episode :2980, score : 292.9, n_buffer : 50000, eps : 1.0%
n_episode :3000, score : 249.4, n_buffer : 50000, eps : 1.0%
n_episode :3020, score : 210.6, n_buffer : 50000, eps : 1.0%
n_episode :3040, score : 310.9, n_buffer : 50000, eps : 1.0%
n_episode :3060, score : 332.2, n_buffer : 50000, eps : 1.0%
n_episode :3080, score : 305.4, n_buffer : 50000, eps : 1.0%
n_episode :3100, score : 322.8, n_buffer : 50000, eps : 1.0%
n_episode :3120, score : 400.4, n_buffer : 50000, eps : 1.0%
n_episode :3140, score : 331.4, n_buffer : 50000, eps : 1.0%
n_episode :3160, score : 272.6, n_buffer : 50000, eps : 1.0%
n_episode :3180, score : 362.6, n_buffer : 50000, eps : 1.0%
n_episode :3200, score : 363.2, n_buffer : 50000, eps : 1.0%
n_episode :3220, score : 367.0, n_buffer : 50000, eps : 1.0%
n_episode :3240, score : 393.4, n_buffer : 50000, eps : 1.0%
n_episode :3260, score : 373.9, n_buffer : 50000, eps : 1.0%
n_episode :3280, score : 284.5, n_buffer : 50000, eps : 1.0%
n_episode :3300, score : 211.7, n_buffer : 50000, eps : 1.0%
n_episode :3320, score : 276.8, n_buffer : 50000, eps : 1.0%
n_episode :3340, score : 179.4, n_buffer : 50000, eps : 1.0%
n_episode :3360, score : 256.7, n_buffer : 50000, eps : 1.0%
n_episode :3380, score : 330.1, n_buffer : 50000, eps : 1.0%
n_episode :3400, score : 435.4, n_buffer : 50000, eps : 1.0%
n_episode :3420, score : 420.2, n_buffer : 50000, eps : 1.0%
n_episode :3440, score : 422.8, n_buffer : 50000, eps : 1.0%
n_episode :3460, score : 264.8, n_buffer : 50000, eps : 1.0%
n_episode :3480, score : 394.0, n_buffer : 50000, eps : 1.0%
n_episode :3500, score : 448.4, n_buffer : 50000, eps : 1.0%
n_episode :3520, score : 362.3, n_buffer : 50000, eps : 1.0%
n_episode :3540, score : 202.3, n_buffer : 50000, eps : 1.0%
n_episode :3560, score : 266.2, n_buffer : 50000, eps : 1.0%
n_episode :3580, score : 360.2, n_buffer : 50000, eps : 1.0%
n_episode :3600, score : 295.2, n_buffer : 50000, eps : 1.0%
n_episode :3620, score : 453.5, n_buffer : 50000, eps : 1.0%
n_episode :3640, score : 446.3, n_buffer : 50000, eps : 1.0%
n_episode :3660, score : 375.6, n_buffer : 50000, eps : 1.0%
n_episode :3680, score : 293.6, n_buffer : 50000, eps : 1.0%
n_episode :3700, score : 278.4, n_buffer : 50000, eps : 1.0%
n_episode :3720, score : 442.4, n_buffer : 50000, eps : 1.0%
n_episode :3740, score : 438.4, n_buffer : 50000, eps : 1.0%
n_episode :3760, score : 183.8, n_buffer : 50000, eps : 1.0%
n_episode :3780, score : 245.8, n_buffer : 50000, eps : 1.0%
n_episode :3800, score : 337.6, n_buffer : 50000, eps : 1.0%
n_episode :3820, score : 429.6, n_buffer : 50000, eps : 1.0%
n_episode :3840, score : 399.6, n_buffer : 50000, eps : 1.0%
n_episode :3860, score : 406.4, n_buffer : 50000, eps : 1.0%
n_episode :3880, score : 402.4, n_buffer : 50000, eps : 1.0%
n_episode :3900, score : 432.1, n_buffer : 50000, eps : 1.0%
n_episode :3920, score : 469.6, n_buffer : 50000, eps : 1.0%
n_episode :3940, score : 300.2, n_buffer : 50000, eps : 1.0%
n_episode :3960, score : 374.6, n_buffer : 50000, eps : 1.0%
n_episode :3980, score : 368.2, n_buffer : 50000, eps : 1.0%
n_episode :4000, score : 392.5, n_buffer : 50000, eps : 1.0%
n_episode :4020, score : 318.2, n_buffer : 50000, eps : 1.0%
n_episode :4040, score : 114.4, n_buffer : 50000, eps : 1.0%
n_episode :4060, score : 251.8, n_buffer : 50000, eps : 1.0%
n_episode :4080, score : 337.7, n_buffer : 50000, eps : 1.0%
n_episode :4100, score : 430.2, n_buffer : 50000, eps : 1.0%
n_episode :4120, score : 353.5, n_buffer : 50000, eps : 1.0%
n_episode :4140, score : 446.3, n_buffer : 50000, eps : 1.0%
n_episode :4160, score : 494.1, n_buffer : 50000, eps : 1.0%
n_episode :4180, score : 390.5, n_buffer : 50000, eps : 1.0%
n_episode :4200, score : 445.4, n_buffer : 50000, eps : 1.0%
n_episode :4220, score : 500.0, n_buffer : 50000, eps : 1.0%
n_episode :4240, score : 453.4, n_buffer : 50000, eps : 1.0%
n_episode :4260, score : 360.8, n_buffer : 50000, eps : 1.0%
n_episode :4280, score : 330.6, n_buffer : 50000, eps : 1.0%
n_episode :4300, score : 337.9, n_buffer : 50000, eps : 1.0%
n_episode :4320, score : 317.6, n_buffer : 50000, eps : 1.0%
n_episode :4340, score : 287.4, n_buffer : 50000, eps : 1.0%
n_episode :4360, score : 325.3, n_buffer : 50000, eps : 1.0%
n_episode :4380, score : 364.0, n_buffer : 50000, eps : 1.0%
