n_episode : 1880, score : 257.6, n_buffer : 50000, eps : 1.0%
n_epison_episode : 1580, score9,n_episode : 1600, score : 136.8, n_buffer : 50000, eps : 1.02,n_episode : 1620, score : 140.2, n_buffer : 50000, eps : 1.04,n_episode : 1640, score : 169.9, n_buffer : 50000, eps : 1.03,n_episode : 1660, score : 219.9, n_buffer : 50000, eps : 1.05,n_episode : 1680, score : 224.1, n_buffer : 50000, eps : 1.07,n_episode : 1700, score : 242.3, n_buffer : 50000, eps : 1.08,n_episode : 1720, score : 217.6, n_buffer : 50000, eps : 1.05,n_episode : 1740, score : 220.8, n_buffer : 50000, eps : 1.06,n_episode : 1760, score : 186.2, n_buffer : 50000, eps : 1.06,n_episode : 1780, score : 203.9, n_buffer : 50000, eps : 1.01,n_episode : 1800, score : 239.4, n_buffer : 50000, eps : 1.02,n_episode : 1820, score : 146.8, n_buffer : 50000, eps : 1.06,n_episode : 1840, score : 185.7, n_buffer : 50000, eps : 1.04,n_episode : 1860, score : 236.8, n_buffer : 50000, eps : 1.08,n_episode : 1880, score : 257.6, n_buffer : 50000, eps : 1.08,n_epison_episode : 1580, score9,n_episode : 1600, score : 134, n_buffer : 50000, eps : 1.0%
n_episode : 2240, score : 278.1, n_buffer : 50000, eps : 1.0%
n_episode : 2260, score : 285.1, n_buffer : 50000, eps : 1.0%
n_episode : 2280, score : 343.2, n_buffer : 50000, eps : 1.0%
n_episode : 2300, score : 397.0, n_buffer : 50000, eps : 1.0%
n_episode : 2320, score : 483.2, n_buffer : 50000, eps : 1.0%
n_episode : 2340, score : 454.4, n_buffer : 50000, eps : 1.0%
n_episode : 2360, score : 433.4, n_buffer : 50000, eps : 1.0%
n_episode : 2380, score : 336.4, n_buffer : 50000, eps : 1.0%
n_episode : 2400, score : 280.2, n_buffer : 50000, eps : 1.0%
n_episode : 2420, score : 366.4, n_buffer : 50000, eps : 1.0%
n_episode : 2440, score : 336.9, n_buffer : 50000, eps : 1.0%
n_episode : 2460, score : 309.0, n_buffer : 50000, eps : 1.0%
n_episode : 2480, score : 285.1, n_buffer : 50000, eps : 1.0%
n_episode : 2500, score : 239.2, n_buffer : 50000, eps : 1.0%
n_episode : 2520, score : 109.5, n_buffer : 50000, eps : 1.0%
n_episode : 2540, score : 130.4, n_buffer : 50000, eps : 1.0%
n_n_episode : 2240, score : 272,n_episode : 2260, score : 285.1, n_buffer : 50000, eps : 1.06,n_episode : 2280, score : 343.2, n_buffer : 50000, eps : 1.06,n_episode : 2300, score : 397.0, n_buffer : 50000, eps : 1.04,n_episode : 2320, score : 483.2, n_buffer : 50000, eps : 1.04,n_episode : 2340, score : 454.4, n_buffer : 50000, eps : 1.08,n_episode : 2360, score : 433.4, n_buffer : 50000, eps : 1.07,n_episode : 2380, score : 336.4, n_buffer : 50000, eps : 1.09,n_episode : 2400, score : 280.2, n_buffer : 50000, eps : 1.03,n_episode : 2420, score : 366.4, n_buffer : 50000, eps : 1.09,n_episode : 2440, score : 336.9, n_buffer : 50000, eps : 1.01,n_episode : 2460, score : 309.0, n_buffer : 50000, eps : 1.08,n_episode : 2480, score : 285.1, n_buffer : 50000, eps : 1.06,n_episode : 2500, score : 239.2, n_buffer : 50000, eps : 1.07,n_episode : 2520, score : 109.5, n_buffer : 50000, eps : 1.09,n_episode : 2540, score : 130.4, n_buffer : 50000, eps : 1.05,n_n_episode : 2240, score : 272,n_episode : 2260, score : 282, n_buffer : 50000, eps : 1.0%
n_episode : 2900, score : 288.9, n_buffer : 50000, eps : 1.0%
n_episode : 2920, score : 305.3, n_buffer : 50000, eps : 1.0%
n_episode : 2940, score : 221.2, n_buffer : 50000, eps : 1.0%
n_episode : 2960, score : 383.8, n_buffer : 50000, eps : 1.0%
n_episode : 2980, score : 336.9, n_buffer : 50000, eps : 1.0%
n_episode : 3000, score : 396.2, n_buffer : 50000, eps : 1.0%
n_episode : 3020, score : 400.5, n_buffer : 50000, eps : 1.0%
n_episode : 3040, score : 255.0, n_buffer : 50000, eps : 1.0%
n_episode : 3060, score : 291.7, n_buffer : 50000, eps : 1.0%
n_episode : 3080, score : 327.9, n_buffer : 50000, eps : 1.0%
n_episode : 3100, score : 336.8, n_buffer : 50000, eps : 1.0%
n_episode : 3120, score : 373.6, n_buffer : 50000, eps : 1.0%
n_episode : 3140, score : 320.5, n_buffer : 50000, eps : 1.0%
n_episode : 3160, score : 312.9, n_buffer : 50000, eps : 1.0%
n_episode : 3180, score : 269.8, n_buffer : 50000, eps : 1.0%
n_episode : 3200, score : 331.6, n_buffer : 50000, eps : 1.0%
n_n_episode : 2900, score : 284,n_episode : 2920, score : 305.3, n_buffer : 50000, eps : 1.01,n_episode : 2940, score : 221.2, n_buffer : 50000, eps : 1.04,n_episode : 2960, score : 383.8, n_buffer : 50000, eps : 1.09,n_episode : 2980, score : 336.9, n_buffer : 50000, eps : 1.07,n_episode : 3000, score : 396.2, n_buffer : 50000, eps : 1.04,n_episode : 3020, score : 400.5, n_buffer : 50000, eps : 1.00,n_episode : 3040, score : 255.0, n_buffer : 50000, eps : 1.01,n_episode : 3060, score : 291.7, n_buffer : 50000, eps : 1.04,n_episode : 3080, score : 327.9, n_buffer : 50000, eps : 1.02,n_episode : 3100, score : 336.8, n_buffer : 50000, eps : 1.02,n_episode : 3120, score : 373.6, n_buffer : 50000, eps : 1.04,n_episode : 3140, score : 320.5, n_buffer : 50000, eps : 1.04,n_episode : 3160, score : 312.9, n_buffer : 50000, eps : 1.07,n_episode : 3180, score : 269.8, n_buffer : 50000, eps : 1.09,n_episode : 3200, score : 331.6, n_buffer : 50000, eps : 1.03,n_n_episode : 2900, score : 284,n_episode : 2920, score : 308, n_buffer : 50000, eps : 1.0%
n_episode : 3560, score : 266.5, n_buffer : 50000, eps : 1.0%
n_episode : 3580, score : 173.2, n_buffer : 50000, eps : 1.0%
n_episode : 3600, score : 36.8, n_buffer : 50000, eps : 1.0%
n_episode : 3620, score : 57.0, n_buffer : 50000, eps : 1.0%
n_episode : 3640, score : 15.3, n_buffer : 50000, eps : 1.0%
n_episode : 3660, score : 15.4, n_buffer : 50000, eps : 1.0%
n_episode : 3680, score : 54.8, n_buffer : 50000, eps : 1.0%
n_episode : 3700, score : 103.5, n_buffer : 50000, eps : 1.0%
n_episode : 3720, score : 242.8, n_buffer : 50000, eps : 1.0%
n_episode : 3740, score : 222.1, n_buffer : 50000, eps : 1.0%
n_episode : 3760, score : 204.8, n_buffer : 50000, eps : 1.0%
n_episode : 3780, score : 247.1, n_buffer : 50000, eps : 1.0%
n_episode : 3800, score : 219.3, n_buffer : 50000, eps : 1.0%
n_episode : 3820, score : 232.0, n_buffer : 50000, eps : 1.0%
n_episode : 3840, score : 211.8, n_buffer : 50000, eps : 1.0%
n_episode : 3860, score : 341.3, n_buffer : 50000, eps : 1.0%
n_epison_episode : 3560, score : 26bun_episode : 3580, score : 173.2, n_buffer : 50000, eps : 1.0bun_episode : 3600, score : 36.8, n_buffer : 50000, eps : 1.0%bun_episode : 3620, score : 57.0, n_buffer : 50000, eps : 1.0_bn_episode : 3640, score : 15.3, n_buffer : 50000, eps : 1.0n_n_episode : 3660, score : 15.4, n_buffer : 50000, eps : 1.0 nn_episode : 3680, score : 54.8, n_buffer : 50000, eps : 1.0, n_episode : 3700, score : 103.5, n_buffer : 50000, eps : 1.8,n_episode : 3720, score : 242.8, n_buffer : 50000, eps : 1.08,n_episode : 3740, score : 222.1, n_buffer : 50000, eps : 1.09,n_episode : 3760, score : 204.8, n_buffer : 50000, eps : 1.09,n_episode : 3780, score : 247.1, n_buffer : 50000, eps : 1.04,n_episode : 3800, score : 219.3, n_buffer : 50000, eps : 1.02,n_episode : 3820, score : 232.0, n_buffer : 50000, eps : 1.0, n_episode : 3840, score : 211.8, n_buffer : 50000, eps : 1.0, n_episode : 3860, score : 341.3, n_buffer : 50000, eps : 1.0, n_epison_episode : 3560, score : 26bun_episode : 3580, score n_buffer : 50000, eps : 1.0%
n_episode : 4220, score : 141.2, n_buffer : 50000, eps : 1.0%
n_episode : 4240, score : 253.8, n_buffer : 50000, eps : 1.0%
n_episode : 4260, score : 208.8, n_buffer : 50000, eps : 1.0%
n_episode : 4280, score : 181.5, n_buffer : 50000, eps : 1.0%
n_episode : 4300, score : 239.3, n_buffer : 50000, eps : 1.0%
n_episode : 4320, score : 351.4, n_buffer : 50000, eps : 1.0%
n_episode : 4340, score : 228.6, n_buffer : 50000, eps : 1.0%
n_episode : 4360, score : 242.8, n_buffer : 50000, eps : 1.0%
n_episode : 4380, score : 215.1, n_buffer : 50000, eps : 1.0%
n_episode : 4400, score : 196.7, n_buffer : 50000, eps : 1.0%
n_episode : 4420, score : 162.6, n_buffer : 50000, eps : 1.0%
n_episode : 4440, score : 205.8, n_buffer : 50000, eps : 1.0%
n_episode : 4460, score : 320.9, n_buffer : 50000, eps : 1.0%
n_episode : 4480, score : 403.2, n_buffer : 50000, eps : 1.0%
n_episode : 4500, score : 361.2, n_buffer : 50000, eps : 1.0%
n_episode : 4520, score : 282.3, n_buffer : 50000, eps : 1.0%
n_epn_episode : 4220, score : 9,n_episode : 4240, score : 253.8, n_buffer : 50000, eps : 1.08,n_episode : 4260, score : 208.8, n_buffer : 50000, eps : 1.09,n_episode : 4280, score : 181.5, n_buffer : 50000, eps : 1.09,n_episode : 4300, score : 239.3, n_buffer : 50000, eps : 1.08,n_episode : 4320, score : 351.4, n_buffer : 50000, eps : 1.06,n_episode : 4340, score : 228.6, n_buffer : 50000, eps : 1.08,n_episode : 4360, score : 242.8, n_buffer : 50000, eps : 1.01,n_episode : 4380, score : 215.1, n_buffer : 50000, eps : 1.07,n_episode : 4400, score : 196.7, n_buffer : 50000, eps : 1.01,n_episode : 4420, score : 162.6, n_buffer : 50000, eps : 1.01,n_episode : 4440, score : 205.8, n_buffer : 50000, eps : 1.04,n_episode : 4460, score : 320.9, n_buffer : 50000, eps : 1.08,n_episode : 4480, score : 403.2, n_buffer : 50000, eps : 1.06,n_episode : 4500, score : 361.2, n_buffer : 50000, eps : 1.02,n_episode : 4520, score : 282.3, n_buffer : 50000, eps : 1.04,n_epn_episode : 4220, score : 9,n_episode : 4240, score : 251, n_buffer : 50000, eps : 1.0%
n_episode : 4880, score : 259.5, n_buffer : 50000, eps : 1.0%
n_episode : 4900, score : 226.3, n_buffer : 50000, eps : 1.0%
n_episode : 4920, score : 280.8, n_buffer : 50000, eps : 1.0%
n_episode : 4940, score : 108.5, n_buffer : 50000, eps : 1.0%
n_episode : 4960, score : 62.2, n_buffer : 50000, eps : 1.0%
n_episode : 4980, score : 259.8, n_buffer : 50000, eps : 1.0%
n_episode : 5000, score : 325.2, n_buffer : 50000, eps : 1.0%
n_episode : 5020, score : 365.9, n_buffer : 50000, eps : 1.0%
n_episode : 5040, score : 298.5, n_buffer : 50000, eps : 1.0%
n_episode : 5060, score : 284.8, n_buffer : 50000, eps : 1.0%
n_episode : 5080, score : 219.8, n_buffer : 50000, eps : 1.0%
n_episode : 5100, score : 155.8, n_buffer : 50000, eps : 1.0%
n_episode : 5120, score : 145.0, n_buffer : 50000, eps : 1.0%
